figure,case_id,svg_path_index,vector_centerline,multiple_intersection_samples
1,25MS,356,true,0
1,45MS,357,true,0
1,65MS,358,true,0
1,22MS,302,true,0
1,44MS,303,true,0
1,66MS,304,true,0
1,55MS,305,true,0
1,77MS,306,true,0
1,99MS,307,true,0
1,25MN,380,true,0
1,45MN,381,true,0
1,65MN,382,true,0
1,55NN,332,true,0
1,77NN,333,true,0
1,99NN,334,true,0
2,25MS,430,false,1
2,45MS,431,false,0
2,65MS,432,false,2
2,22MS,404,false,0
2,44MS,405,false,0
2,66MS,406,false,0
2,55MS,407,false,0
2,77MS,408,false,0
2,99MS,409,false,0
2,25MN,470,false,0
2,45MN,471,false,0
2,65MN,472,false,0
2,55NN,450,false,0
2,77NN,451,false,0
2,99NN,452,false,0
3,25MS,331,false,0
3,45MS,332,false,0
3,65MS,333,false,0
3,22MS,261,false,0
3,44MS,262,false,0
3,66MS,263,false,0
3,55MS,264,false,0
3,77MS,265,false,0
3,99MS,266,false,0
3,25MN,363,false,0
3,45MN,364,false,0
3,65MN,365,false,0
3,55NN,299,false,0
3,77NN,300,false,0
3,99NN,301,false,0
4,25MS,311,true,0
4,45MS,312,true,0
4,65MS,313,true,0
4,22MS,243,true,0
4,44MS,244,true,0
4,66MS,245,true,0
4,55MS,246,true,0
4,77MS,247,true,0
4,99MS,248,true,0
4,25MN,342,true,0
4,45MN,343,true,0
4,65MN,344,true,0
4,55NN,280,true,0
4,77NN,281,true,0
4,99NN,282,true,0
5,25MS,245,true,0
5,45MS,246,true,0
5,65MS,247,true,0
5,22MS,276,true,0
5,44MS,277,true,0
5,66MS,278,true,0
5,55MS,279,true,0
5,77MS,280,true,0
5,99MS,281,true,0
5,25MN,313,true,0
5,45MN,314,true,0
5,65MN,315,true,0
5,55NN,344,true,0
5,77NN,345,true,0
5,99NN,346,true,0
6,25MS,372,true,0
6,45MS,373,true,0
6,65MS,374,true,0
6,22MS,282,true,0
6,44MS,283,true,0
6,66MS,284,true,0
6,55MS,285,true,0
6,77MS,286,true,0
6,99MS,287,true,0
6,25MN,414,true,0
6,45MN,415,true,0
6,65MN,416,true,0
6,55NN,330,true,0
6,77NN,331,true,0
6,99NN,332,true,0
7,25MS,370,true,0
7,45MS,371,true,0
7,65MS,372,true,0
7,22MS,286,true,0
7,44MS,287,true,0
7,66MS,288,true,0
7,55MS,289,true,0
7,77MS,290,true,0
7,99MS,291,true,0
7,25MN,409,true,0
7,45MN,410,true,0
7,65MN,411,true,0
7,55NN,331,true,0
7,77NN,332,true,0
7,99NN,333,true,0
